"DATE","mRPTFTL","mRUSDTL","mRGRFTL","mPROSURPLUSNORM","lnPTFTL","lnUSDTL","lnGRFTL","lnPSURP","TimeVAR"
2018-09-01,277.298820329291,5.54279590113602,1396.31946576604,16336.2069499138,5.62509569848102,1.71249904874876,7.24159510081355,9.70113920865879,1
2018-09-02,265.015440301658,5.54279590113602,1396.31946576604,15585.4782365954,5.57978808957814,1.71249904874876,7.24159510081355,9.65409487742813,2
2018-09-03,287.368187749463,5.54279590113602,1401.77780549586,16331.9416777452,5.66076427771134,1.71249904874876,7.24549657108018,9.70087808139128,3
2018-09-04,298.569067585201,5.60330307798588,1391.43657890697,15716.9232758151,5.6990012882629,1.72335625921122,7.23809200242598,9.66249332645947,4
2018-09-05,296.047935216457,5.65272432453178,1401.31236567393,15860.4669077005,5.6905213845115,1.73213761027934,7.24516448056736,9.67158493408089,5
2018-09-06,296.716828657507,5.6550092109303,1387.34917101627,15527.8221203037,5.69277824512714,1.73254173837848,7.23515013413785,9.65038866936745,6
2018-09-07,299.098329079675,5.5736841802272,1395.52398679767,15552.5103867737,5.7007723791264,1.71805626800482,7.24102524150488,9.65197734424131,7
2018-09-08,290.254972463156,5.47441856002456,1382.52552195272,15205.3864177197,5.67075975208726,1.70008607098077,7.23166719395139,9.62940501364712,8
2018-09-09,259.105764986951,5.47441856002456,1356.84170632484,14797.1232193699,5.55723633736666,1.70008607098077,7.21291500330699,9.60218806378893,9
2018-09-10,282.118590727664,5.47441856002456,1357.38330902671,15724.5747699881,5.64232751703353,1.70008607098077,7.21331408791198,9.66298003954883,10
2018-09-11,285.03464173319,5.46113236874424,1350.26631102241,15477.5257877798,5.65261072282307,1.69765616179665,7.20805711940182,9.64714430153833,11
2018-09-12,272.716706324839,5.46155549585508,1350.73175084434,15841.6124624676,5.60843355062574,1.6977336385343,7.2084017622456,9.67039545706042,12
2018-09-13,278.807268479429,5.41137262050967,1345.60345026098,15523.0977130928,5.63052074913272,1.68850277981016,7.20459785332136,9.65008436873657,13
2018-09-14,284.013142366442,5.37929958550814,1341.03367746392,14966.2027783275,5.64902051302868,1.68255817713117,7.20119599666053,9.61354978981535,14
2018-09-15,280.041741825299,5.13329348326681,1270.8538148603,14357.1486846917,5.63493867000573,1.63574745772137,7.14744424872907,9.5720032633248,15
2018-09-16,255.665388969911,5.13329348326681,1304.25546898987,13680.3580742004,5.54386951517653,1.63574745772137,7.17338763510043,9.52371636584863,16
2018-09-17,266.604282602855,5.13329348326681,1295.1328484802,15227.4678846436,5.58576547139224,1.63574745772137,7.16636855457108,9.63085617367171,17
2018-09-18,270.114474593184,5.29822843107154,1296.20759134173,15897.3106445409,5.59884584911902,1.66737250639293,7.16719804258943,9.67390523204945,18
2018-09-19,277.886967013356,5.3851387396377,1315.90838962235,15027.3559418423,5.62721443753196,1.68364307436889,7.18228249671321,9.61762754856508,19
2018-09-20,278.160236605772,5.33944101166718,1215.63572689592,15297.3739417501,5.62819733830958,1.67512096802975,7.10302245094961,9.63543645485496,20
2018-09-21,281.679596350169,5.30753722750998,1297.16385861222,14847.6044131175,5.64077024183728,1.6691279287035,7.16793551296904,9.60559381223555,21
2018-09-22,285.806496104544,5.3035598326681,1290.46998771876,14031.4034221295,5.6553149947845,1.66837826163221,7.16276176256802,9.54905319818147,22
2018-09-23,266.921627935984,5.3035598326681,1303.23150138164,13278.4461345638,5.58695508698273,1.66837826163221,7.1726022293266,9.49389740824498,23
2018-09-24,285.178857556801,5.3035598326681,1299.53337043291,14331.7001381111,5.65311655380345,1.66837826163221,7.16976053319232,9.57022915566278,24
2018-09-25,266.017193736567,5.27106367055573,1328.07752533006,16851.2293839236,5.58356094480014,1.66223217720739,7.19148770584005,9.73217889358926,25
2018-09-26,255.802552675008,5.18246085354621,1311.22014123426,17059.8527401954,5.54440586827794,1.64528001171436,7.17871338822856,9.74448318913241,26
2018-09-27,257.372706862143,5.18263010439054,1306.7942316549,15523.223611123,5.55052525559342,1.64531266957429,7.17533226561777,9.65009247907137,27
2018-09-28,279.075954194811,5.1411636475284,1301.08201565858,15663.5183918311,5.63148398202891,1.63727944441432,7.170951517001,9.65908961811728,28
2018-09-29,274.538621142923,5.06923203868591,1312.47259748235,15579.4087383673,5.61509194738402,1.62318933447052,7.17966811613914,9.65370536866401,29
2018-09-30,255.669267635094,5.06923203868591,1315.65451335585,14207.3820814013,5.54388468592678,1.62318933447052,7.1820895495737,9.56151697339383,30
2018-10-01,273.577749239913,4.93747015725073,1337.97676751315,13736.6612826661,5.61158585656376,1.59685308610786,7.19891387694486,9.52782354372093,31
2018-10-02,268.443652341316,4.9174406883146,1319.84309193311,13879.7340672296,5.59264103099884,1.59278820985899,7.1852681387672,9.53818507445575,32
2018-10-03,283.003482692452,4.95230680090712,1329.21490517607,13698.6302021855,5.64545920390127,1.5998534884121,7.19234375006192,9.52505112157543,33
2018-10-04,272.188187660428,4.96936894111197,1326.62673511601,14369.2515574904,5.60649369346541,1.60329285842738,7.1903947099986,9.57284589403472,34
2018-10-05,253.818568233359,5.04808557828893,1352.24467316271,14688.0240190837,5.5366197134921,1.61900907800506,7.20952121150378,9.59478774814513,35
2018-10-06,249.275876436066,5.07273089191816,1356.48135918459,14597.4576611124,5.51856022064917,1.62387931004921,7.2126493901576,9.58860265973303,36
2018-10-07,241.563569261345,5.07273089191816,1325.5304720014,12857.0801735188,5.4871326652096,1.62387931004921,7.18956801452662,9.46164992485222,37
