"DATE","PTFTL","AT","BE","BG","CZ","DK_1","DK_2","FI","FR","DE_LU","GR","IE_SEM","IT_CNOR","NL","PL","PT","RO","ES","SE_1","SE_2","SE_3","SE_4","DEMAND","WIND","RIVER","NGASSTOCK","TTF","USDTL"
2019-01-20,181.68875,60.6354166666667,58.075,101.712916666667,56.405,55.24125,55.25125,55.2158333333333,61.07875,54.2166666666667,76.7025,68.5304166666667,64.96125,57.1745833333333,234.926666666667,61.2854166666667,292.338333333333,61.2854166666667,55.2158333333333,55.2158333333333,55.2158333333333,55.2158333333333,30650,1870.75,2768,369016140,22.605,5.3429
2019-01-21,251.449166666667,70.2908333333333,69.9191666666667,127,73.3945833333333,68.1870833333333,68.8279166666667,68.8279166666667,71.8608333333333,69.8441666666667,81.2420833333333,68.8179166666667,72.7879166666667,69.1120833333333,296.638333333333,65.8904166666667,408.562916666667,65.9445833333333,68.8279166666667,68.8279166666667,68.8279166666667,68.8279166666667,35187.5,1721.16666666667,2869.125,368622853,22.605,5.3429
2019-01-22,264.386666666667,65.98375,74.15375,156.340833333333,65.5320833333333,62.5916666666667,62.87375,64.2295833333333,72.0691666666667,62.9575,76.06125,69.3633333333333,73.3395833333333,65.80625,284.974583333333,64.0366666666667,403.369583333333,64.0366666666667,62.87375,62.87375,62.87375,62.87375,35866.6666666667,1297.125,2958.875,369544768,21.815,5.3369
2019-01-23,231.788333333333,75.6495833333333,76.7575,82.8354166666667,74.0079166666667,68.0495833333333,69.635,68.2183333333333,76.2858333333333,75.445,74.8829166666667,83.5479166666667,78.3583333333333,74.5866666666667,319.045416666667,60.29625,431.425,60.29625,68.2183333333333,68.2183333333333,68.2183333333333,69.635,36158.3333333333,4312.54166666667,2922.25,370133909,22.19,5.3454
2019-01-24,237.20875,85.9433333333333,86.0745833333333,142.393333333333,83.7283333333333,79.1725,79.505,79.17375,86.0041666666667,85.9104166666667,75.345,85.3345833333333,84.88875,85.4779166666667,337.515,61.105,397.973333333333,61.105,77.895,77.895,79.17375,79.505,35237.5,4390.75,2847.33333333333,369229805,21.28,5.3142
2019-01-25,246.85375,66.6125,67.3041666666667,144.493333333333,69.1879166666667,64.8370833333333,66.31375,65.13875,69.3691666666667,65.6545833333333,69.59,67.7941666666667,69.3979166666667,65.15125,290.1075,63.53625,340.83,62.3341666666667,65.0316666666667,65.0316666666667,65.0316666666667,66.31375,34354.1666666667,4051.29166666667,2931.83333333333,368520954,20.89,5.274
2019-01-26,224.525,52.045,51.8791666666667,99.1595833333333,51.1308333333333,52.4495833333333,54.0533333333333,55.0275,54.0258333333333,48.425,76.2545833333333,50.60625,61.3095833333333,50.2004166666667,242.561666666667,63.2225,330.6675,61.3466666666667,54.0533333333333,54.0533333333333,54.0533333333333,54.0533333333333,32750,3842.91666666667,3034.25,369374887,20.89,5.2641
2019-01-27,210.9375,49.2779166666667,41.30625,85.82,40.2416666666667,45.3891666666667,46.23125,53.0408333333333,40.2541666666667,36.0220833333333,70.8754166666667,42.6983333333333,62.46,43.5554166666667,195.5225,50.3225,292.92375,43.4916666666667,52.1508333333333,52.1508333333333,52.1508333333333,52.1508333333333,28720.8333333333,1482.29166666667,3118.04166666667,369627101,20.89,5.2641
2019-01-28,251.18625,58.2920833333333,55.7020833333333,80.82375,56.655,55.58875,56.3058333333333,60.8408333333333,56.295,50.5045833333333,73.76375,76.2616666666667,61.5275,50.69875,252.755416666667,58.1241666666667,285.48125,56.115,56.0533333333333,56.0533333333333,56.2079166666667,56.3058333333333,34045.8333333333,1976.125,3210.83333333333,370315508,20.55,5.2641
2019-01-29,234.335,61.61875,62.7179166666667,113.784583333333,62.68375,61.5629166666667,61.5629166666667,61.6779166666667,62.4025,60.2570833333333,68.495,70.30125,69.6425,59.93875,265.229166666667,62.0391666666667,303.2475,59.265,60.66625,60.66625,61.5629166666667,61.5629166666667,34533.3333333333,4098.5,3373,370064157,20.585,5.2763
2019-01-30,207.767916666667,60.30625,61.7866666666667,120.716666666667,61.6779166666667,54.7570833333333,57.6416666666667,59.2879166666667,59.4620833333333,53.1,69.77875,98.3729166666667,71.41375,63.7491666666667,262.055416666667,59.6079166666667,318.174166666667,57.9608333333333,57.9391666666667,57.9391666666667,57.9679166666667,57.9679166666667,34787.5,4438,3322.66666666667,368883497,20.18,5.3339
2019-01-31,208.603333333333,59.9629166666667,61.5195833333333,100.175833333333,61.585,53.76625,58.7179166666667,61.17375,60.79,59.6916666666667,67.53375,64.6075,65.7370833333333,60.8708333333333,266.084166666667,54.83875,313.605416666667,54.83875,56.9333333333333,56.9333333333333,57.36125,59.5370833333333,33400,4330.95833333333,3309.04166666667,367758344,19.85,5.2781
2019-02-01,223.528333333333,57.5954166666667,61.6595833333333,92.3458333333333,55.8870833333333,54.0345833333333,55.0554166666667,57.295,59.64,55.74625,67.7570833333333,66.61,65.9854166666667,62.3,255.344166666667,52.50625,296.004166666667,52.50625,54.0504166666667,54.0504166666667,54.0504166666667,55.0554166666667,34104.1666666667,2801.04166666667,3312.08333333333,366736445,19.3,5.2109
