"DATE","TOTAL","NGAS","WIND","LIGNITE","COAL","IMCOAL","TCOAL","GEOTHERMAL","DAMHYDRO","BIOMASS","RIVER","VRE","OTHER","EUASTOTAL","EUASNGAS","EUASWIND","EUASLIGNITE","EUASCOAL","EUASIMCOAL","EUASTCOAL","EUASGEOTHERMAL","EUASDAMHYDRO","EUASBIOMASS","EUASOTHER","PRIVTOTAL","PRIVNGAS","PRIVLIGNITE","PRIVCOAL","PRIVIMCOAL","PRIVTCOAL","PRIVGEOTEHRMAL","PRIVDAMHYDRO","PRIVBIOMASS","PRIVOTHER","REALTOTAL","REALNGAS","REALWIND","REALLIGNITE","REALCOAL","REALIMCOAL","REALGEOTHERMAL","REALDAMHYDRO","REALBIOMASS","REALOTHER","PDEMAND","REALDEMAND","DEMAND","RESDEMAND","PTFTL","USDTL","TTF","WVOL","YEAR","MONTH","DAY","WDAYNO","WEEKEND","COVID","GOVERNOR","NT3","PT3","NT7","PT7","NT14","PT14","TimeVar"
2018-09-08,2.46564132596153,-0.550603147490229,0.289213520938615,0.847596821572287,-0.322218553978211,4.54874172562463,5.07411999321871,0.129837019944886,-2.87887115032772,0.0438182311481715,0.395200297835795,0.68441381877441,-0.0370734393067138,-2.7443903710095,-0.0761971546832356,-0.00127819488809272,0.346057472496001,0,0.265637056988798,0.611694529484801,0,-3.27646877600085,0,-0.00214077492211828,5.21003169697101,-0.474405992806997,0.501539349076285,-0.322218553978211,4.28310466863583,4.46242546373391,0.129837019944886,0.397597625673132,0.0438182311481715,-0.0349326643845955,0,-1.36846531710312,0.0343368999294293,0.515845140957094,-0.364420203639372,4.05405095342963,0.0841861665184904,-3.37265865700998,0.03589035324339,0.381234663674411,-3020.83333333334,-1718.53375,-0.0831471877788363,-0.0903537336273494,-0.0300126270391345,-0.0179701970240478,0.0192990027965263,-0.010265318534538,2018,9,8,6,1,0,"CETINKAYA",0,0,0,0,0,0,1
2018-09-09,-4.76885955956494,-6.80685129191924,3.81573162248649,1.24166264835901,0,-0.124171599237737,1.11749104912128,0.227690603685974,-3.16870183644901,0.121828160640171,-0.153566268879931,3.66216535360656,0.0775184017493341,-6.14771134224788,-2.87459914129264,0.00495127606438119,0.252154500553913,0,0.0151481012244399,0.267302601778352,0,-3.5015306889205,0,-0.0438353898774685,1.37885178268294,-3.9322521506266,0.989508147805104,0,-0.139319700462174,0.85018844734293,0.227690603685974,0.33282885247149,0.121828160640171,0.121353791626803,0,-5.3311699760183,3.67700042806732,2.10008551892522,0.0689410543089374,0.678732918866405,0.223838911105533,-1.97358821685517,0.084750235888768,0.471409125711295,-3200,-3875.89,-0.0963391711247628,-0.135826183648154,-0.113523414720603,-0.0179701970240478,0.0192990027965263,0.003132626643051,2018,9,9,7,1,0,"CETINKAYA",0,0,0,0,0,0,2
2018-09-10,2.76914854487759,4.23253558825697,-1.2905401644004,-1.2263489455376,0,-3.78265988986891,-5.0090088354065,-0.233138330033063,4.97219272054907,-0.0908572328375906,0.27910723164666,-1.01143293275374,-0.091142432897551,3.31471710570559,0.520253616887437,-0.000611316167722387,-0.495862613988308,0,-2.29794905031475,-2.79381166430306,0,5.5532375552847,0,0.0356489140042253,-0.545568560828009,3.71228197136953,-0.730486331549287,0,-1.48471083955416,-2.21519717110346,-0.233138330033063,-0.58104483473563,-0.0908572328375906,-0.126791346901776,0,4.00168073341834,-0.982304518926961,-2.16399815025744,-0.0578983680624091,-4.10525697225503,-0.243455129239261,4.22947923574958,-0.0932322526260863,-0.585014577800733,3833.33333333333,3576.40791666667,0.114353405596349,0.125418934715865,0.0850911796668647,-0.0179701970240478,0.0397496083585027,-0.002041832492835,2018,9,10,1,0,0,"CETINKAYA",0,0,0,0,0,0,3
2018-09-11,-3.48956197596468,-0.898786313224832,-0.49972115238774,-1.33869018871232,0,0.598262723066938,-0.740427465645386,-0.0837670412562306,-1.23531686824002,-0.0405603642879342,0.0274036154862878,-0.472317536901452,-0.0183863864087951,-3.73327942571312,-0.759359017879913,-0.000376774738005969,-0.681085799918582,0,0.426433260067364,-0.254652539851219,0,-2.71254251750421,0,-0.00634857573977088,0.243717449748459,-0.13942729534493,-0.65760438879374,0,0.171829462999575,-0.485774925794161,-0.0837670412562306,1.47722564926419,-0.0405603642879342,-0.0120378106690243,0,1.48893403733612,-1.32102560735781,-1.01070247665679,-0.00760093387576488,1.21850929898997,-0.0531840911465093,-0.519613225730879,-0.0611609707225623,0.265843969164238,1520.83333333334,661.381249999999,0.0419770706442293,0.0471043672995517,0.0102832057895466,-0.00242990918412356,-0.011916210426643,-0.001192305326879,2018,9,11,2,0,0,"CETINKAYA",0,0,0,0,0,0,4
2018-09-12,1.0983386055001,-0.683259992766246,2.80843051833919,0.285234584562973,0,0.244439705804176,0.529674290367147,0.0655081774778559,-1.61757703729454,0.0264365384209045,0.0467815628360682,2.85521208117526,-0.0776554518802854,-1.63576878458911,-0.0100398652317999,0.0116682620925812,0.0889921267610854,0,0.0644674962247138,0.1534596229858,0,-1.80207320083931,0,0.0112163964036181,2.73410739008924,-0.673220127534439,0.196242457801887,0,0.179972209579461,0.376214667381344,0.0655081774778559,0.184496163544774,0.0264365384209045,-0.0888718482839035,0,-1.41954549358407,3.76401715991187,0.0151086067124133,-0.0514913906683082,-0.75072712807448,0.0282594852671965,-1.30289805553665,0.0695923290028736,-0.352315513030852,-1483.33333333334,53.6129166666651,-0.0409205465100282,-0.072307925865708,-0.044177172197335,7.74767376483521e-05,-0.0456765314994438,0.002665070269533,2018,9,12,3,0,0,"CETINKAYA",0,0,0,0,0,0,5
2018-09-13,2.80337047861886,-0.729468578455602,0.392272413365543,0.650424204583937,0,1.28947974608027,1.93990395066421,0.0673578877943022,1.39320805492966,-0.00527839971488575,-0.0183900162804678,0.373882397085076,-0.236234833683912,1.82685974214369,0.323611126638362,0.0050958771244248,0.354334396300922,0,0.0335976467232353,0.387932043024158,0,1.11971320822771,0,-0.009492512870965,0.976510736475156,-1.05307970509397,0.296089808283016,0,1.25588209935703,1.55197190764005,0.0673578877943022,0.27349484670196,-0.00527839971488575,-0.226742320812947,0,-2.95741469825989,0.430118009515592,0.580481435568139,0.0297555987046297,1.17536637706747,0.0294103505657071,1.3224919512369,-0.0587330639830399,-0.551475960415516,-879.166666666664,224.974583333336,-0.0250681377432347,-0.0292543755555918,0.0220871985069859,-0.00923085872413543,-0.0252292177119102,0.007116246052736,2018,9,13,4,0,0,"CETINKAYA",0,1,0,1,0,1,6
2018-09-14,0.925228357363892,3.22134334736103,-3.90027872873298,0.222855608301632,0,1.16991599098286,1.39277159928449,0.0104885377182276,-0.0236079734373931,-0.0036107025521005,-0.0943741901395745,-3.99465291887255,0.3224964678622,1.68555118108403,0.409272239957264,-0.0188459510761091,0.39644673920254,0,0.0997511792219521,0.496197918424491,0,0.775628336473657,0,0.023298637304729,-0.760322823720138,2.81207110740375,-0.173591130900911,0,1.07016481176091,0.896573680860005,0.0104885377182276,-0.799236309911051,-0.0036107025521005,0.299197830557472,0,3.6890109777493,-4.22409800900008,0.399022512926654,-0.00378862171430105,0.87337838307603,0.0563589605066093,-1.04974693962243,0.00614031924238456,0.253722416835839,-175,-784.692916666667,-0.00506574476132648,0.0387507813210757,0.0184997638959583,-0.00594460267899533,0.00446595457563959,0.00197199807689899,2018,9,14,5,0,0,"CETINKAYA",0,1,0,1,0,1,7
2018-09-15,-1.74079635338882,1.12191699104138,-0.250549825229369,-0.561477483726071,0,-0.874759315721501,-1.43623679944757,0.120144565414533,-1.67226747150539,0.0237715555682296,0.306027257595152,0.0554774323657821,0.0463973731742002,-2.34046129925586,0.559469587733268,-0.0014379294045932,-0.168509335844008,0,0.0203996934327364,-0.148109642411272,0,-2.72850227725388,0,-0.021881037919378,0.599664945867033,0.562447403308127,-0.392968147882062,0,-0.895159009154241,-1.28812715703631,0.120144565414533,1.05623480574849,0.0237715555682296,0.0682784110935782,1.4210854715202e-14,1.47640369990982,-0.630990805767058,-0.402778215499005,0.0439500142801261,-0.519266980444552,0.0714537012935583,-0.0840514609824687,0.0245720714476216,0.0207079757619582,-1595.83333333334,-1424.10125,-0.0474186746197454,-0.0480100063418458,-0.0140818430229475,-0.0468107194097955,0.00446595457563959,0.00417383885158301,2018,9,15,6,1,0,"CETINKAYA",0,1,0,1,0,1,8
2018-09-16,-0.37072990814778,-7.0172800480058,3.75888898012143,1.18500201420105,0,2.23992283065644,3.42492484485749,0.256246146095956,-0.799703695639705,0.0673407786684738,-0.173023658491357,3.58586532163007,0.111876744245743,-1.1615329494584,0.476807418699821,0.00518982431669706,-0.622149142122566,0,0.0153679316435391,-0.606781210479027,0,-1.06129632854627,0,0.0245473465503791,0.790803041310625,-7.49408746670563,1.80715115632362,0,2.2245548990129,4.03170605533653,0.256246146095956,0.261592632906563,0.0673407786684738,0.0873293976953636,0,-6.94155053805195,4.65808174577145,1.22105937537374,0.0502909357953634,2.16183098721264,0.179676029786173,-1.58980815665701,0.122710256325299,0.137709364444293,-3658.33333333333,-3347.875,-0.118020796897667,-0.157291067056962,-0.091069154829202,-0.0468107194097955,0.00446595457563959,0.000409495108688984,2018,9,16,7,1,0,"CETINKAYA",0,1,0,1,0,1,9
2018-09-17,3.57560423359132,1.10476269871196,4.3586578973355,-1.04267584381029,0.2774340194469,-4.35499465437534,-5.12023647873873,-0.279527878133919,3.73843907795852,-0.00791245938533258,-0.112383818535334,4.24627407880017,-0.106194805621357,0.800895406949856,-1.4749607286978,0.0152152112762638,-0.202287604137707,0,-1.77700099871594,-1.97928860285364,0,4.24837616550265,0,-0.00844663827761992,2.77470882664146,2.57972342740976,-0.840388239672583,0.2774340194469,-2.5779936556594,-3.14094787588509,-0.279527878133919,-0.50993708754413,-0.00791245938533258,-0.0977481673437373,-1.4210854715202e-14,-0.274072055769494,3.88985634070349,-1.34456769579653,0.132821566127962,-4.81181334989661,-0.310252869007995,3.33281127331048,-0.0845032054204607,-0.530280004250847,3791.66666666667,3940.1275,0.122069897710089,0.0734843813538912,0.0418959562157069,-0.0468107194097955,0.0416385938009993,0.00645579924850601,2018,9,17,1,0,0,"CETINKAYA",0,0,0,1,0,1,10
